Iteration,Elapsed,WorkUnits,WorkCount,Running,Creating,Terminating,Evicted,Total Active Memory,Total Free Memory, Active,0,1,2,3,4,Free,0,1,2,3,4
106,1074,114,9.0707e+07,104,2,0,0,9134380,27739840,,878524,657096,3138160,1532020,2928580,,3219952,4514704,6239888,8963756,4801540
107,1085,139,1.10972e+08,104,3,0,0,9134388,27764724,,878532,657084,3138172,1532016,2928584,,3241164,4514028,6241440,8961124,4806968
108,1097,122,9.50152e+07,105,3,0,0,9134524,27721624,,878524,657240,3138156,1532016,2928588,,3227252,4507728,6246264,8942596,4797784
109,1108,124,9.54179e+07,105,4,0,0,9134692,27722756,,878652,657240,3138192,1532024,2928584,,3226788,4491288,6245768,8955268,4803644
110,1121,126,8.98193e+07,106,4,0,0,9135008,27684156,,878660,657352,3138224,1532176,2928596,,3182256,4507096,6245780,8946124,4802900
111,1133,110,8.54196e+07,108,3,0,0,9135024,27661584,,878660,657328,3138260,1532160,2928616,,3183224,4487088,6243908,8947616,4799748
112,1144,125,9.50644e+07,109,3,0,0,9135068,27573808,,878668,657320,3138288,1532168,2928624,,3151692,4486772,6231052,8918488,4785804
113,1156,115,8.09824e+07,109,4,0,0,9135308,27562288,,878844,657316,3138268,1532176,2928704,,3122148,4487020,6231728,8929012,4792380
114,1167,135,1.05072e+08,109,5,0,0,9135444,27516496,,878824,657392,3138272,1532268,2928688,,3146672,4460348,6231468,8886752,4791256
115,1179,134,9.50718e+07,112,3,0,0,9135644,27541464,,878780,657508,3138336,1532316,2928704,,3132016,4498188,6231608,8927372,4752280
116,1192,125,9.39045e+07,113,3,0,0,9135756,27575196,,878824,657512,3138344,1532308,2928768,,3148604,4499304,6228668,8930852,4767768
117,1202,142,9.61614e+07,114,3,0,0,9135792,27552124,,878820,657496,3138388,1532308,2928780,,3153896,4490916,6206256,8916112,4784944
118,1213,140,9.78235e+07,114,4,0,0,9136068,27530548,,878912,657576,3138468,1532332,2928780,,3149320,4496416,6207580,8917092,4760140
119,1225,136,9.44012e+07,114,5,0,0,9136344,27539152,,878876,657684,3138528,1532400,2928856,,3156492,4488556,6186660,8931404,4776040
120,1235,129,9.31237e+07,114,6,0,0,9136444,27509724,,878880,657676,3138520,1532396,2928972,,3154228,4489672,6181976,8927388,4756460
121,1246,143,8.11804e+07,116,5,0,0,9136376,27473168,,878884,657672,3138528,1532388,2928904,,3150820,4478552,6176280,8927952,4739564
122,1258,141,9.71745e+07,117,5,0,0,9136560,27419056,,878896,657664,3138604,1532396,2929000,,3146504,4464116,6170572,8903832,4734032
123,1270,145,9.88479e+07,118,5,0,0,9136660,27404820,,878916,657688,3138604,1532464,2928988,,3117256,4468528,6177400,8912068,4729568
124,1280,141,1.01647e+08,119,5,0,0,9136888,27407416,,878900,657780,3138672,1532472,2929064,,3142596,4449368,6172400,8909776,4733276
125,1293,139,1.02031e+08,120,5,0,0,9137000,27422572,,878888,657828,3138676,1532472,2929136,,3142776,4447808,6189004,8912988,4729996
126,1306,148,9.81376e+07,123,3,0,0,9137060,27319288,,878896,657832,3138744,1532480,2929108,,3134672,4421908,6158864,8890292,4713552
127,1318,145,9.8925e+07,123,4,0,0,9137188,27293344,,878916,657864,3138768,1532488,2929152,,3105028,4405152,6168848,8897132,4717184
128,1329,145,9.95093e+07,124,4,0,0,9137236,27330000,,878916,657876,3138752,1532548,2929144,,3131512,4431772,6158328,8884980,4723408
129,1340,147,9.50755e+07,124,5,0,0,9137668,27320824,,879000,658052,3138832,1532628,2929156,,3115096,4459080,6156968,8883684,4705996
130,1352,150,9.95559e+07,124,6,0,0,9137764,27347356,,879072,658044,3138820,1532624,2929204,,3119816,4461080,6161916,8878524,4726020
