Iteration,Elapsed,Running,Creating,Total Active Memory,Total Free Memory, Active,0,1,2,3,4,5,Free,0,1,2,3,4,5
109,203,0,0,110387204,166194996,,17117128,18269316,17968832,18693320,17967396,20371212,,28254176,28184228,28525548,27128644,28679500,25422900
110,243,0,0,110446960,166253524,,17093080,18271080,17967816,18693420,17971280,20450284,,28299656,28180564,28532700,27127412,28671032,25442160
111,4,0,0,110483168,166406504,,17266928,18271044,17971204,18693228,17968940,20311824,,28292584,28178020,28546088,27124852,28674492,25590468
112,3,0,0,110574332,166342352,,17259648,18273748,17972244,18688992,17960808,20418892,,28264404,28158224,28543824,27119148,28662836,25593916
113,244,0,0,110401928,166403272,,17084916,18271544,17970852,18708348,17965568,20400700,,28420184,28166100,28538836,27127860,28662896,25487396
114,201,0,0,110483048,166267232,,17142364,18274984,17973568,18691748,17963772,20436612,,28359504,28167864,28518372,27125644,28657520,25438328
115,4,0,0,110645752,166159912,,17275892,18283980,17969612,18690584,17965056,20460628,,28250688,28169940,28542904,27114528,28670532,25411320
116,23,0,0,110632316,166133648,,17270400,18276184,17968808,18688704,17973032,20455188,,28276476,28162124,28517928,27102728,28663192,25411200
117,163,0,0,110447524,166277292,,17027792,18278060,17980164,18697824,17968248,20495436,,28464600,28165480,28528768,27112044,28653180,25353220
118,182,0,0,110446928,166230600,,17106904,18280988,17970988,18697000,17969684,20421364,,28383988,28152524,28536624,27101648,28647436,25408380
119,4,0,0,110339264,166359324,,17164892,18286964,17972608,18706796,17981200,20226804,,28299312,28159420,28541260,27094380,28635608,25629344
120,207,0,0,110508956,166235236,,17172044,18276620,17976344,18713044,17980104,20390800,,28331208,28159584,28524848,27099252,28648212,25472132
121,246,0,0,110410328,166338980,,17117660,18282220,17974240,18732276,17971064,20332868,,28364444,28156688,28533872,27099508,28643520,25540948
122,145,0,0,110456780,166167420,,17118636,18284708,17974576,18713472,17975788,20389600,,28326652,28150508,28526712,27095036,28635064,25433448
