Iteration,Elapsed,Running,Creating,Terminating,Total Active Memory,Total Free Memory, Active,0,1,2,3,Free,0,1,2,3
235,31,0,0,0,117665632,3199772,,29967860,29282728,28362896,30052148,,416952,1181196,1194372,407252
236,2,0,0,0,117507860,3390164,,29971932,29272860,28216164,30046904,,429140,1190448,1340008,430568
237,3,0,0,0,117506720,3399916,,29941572,29268424,28255356,30041368,,467200,1201240,1322296,409180
238,48,26,0,0,117851316,3009136,,29999384,29348744,28438348,30064840,,371076,1093056,1152860,392144
239,63,0,0,0,117441656,3405104,,29965356,29323152,28109580,30043568,,408500,1143872,1433004,419728
240,2,0,0,0,117450572,3422168,,29937008,29336200,28156528,30020836,,458564,1110992,1403604,449008
241,2,0,0,0,117435312,3400996,,29947152,29255596,28213444,30019120,,465452,1183184,1317984,434376
242,3,0,0,0,117572592,3247612,,29932392,29289584,28301304,30049312,,459924,1163184,1220996,403508
243,139,0,0,0,117866068,2937968,,29990784,29393528,28413932,30067824,,420160,1023644,1121852,372312
244,3,0,0,0,117674596,3167132,,29963876,29295812,28375044,30039864,,437528,1127592,1180428,421584
245,4,0,0,0,117636596,3190488,,29958840,29348652,28299764,30029340,,455488,1079884,1230164,424952
246,3,0,0,0,117531004,3278896,,29937236,29408560,28150792,30034416,,444468,1054508,1362368,417552
247,124,26,0,0,117986816,2831736,,29986456,29507008,28385552,30107800,,406676,913388,1166184,345488
248,17,0,0,0,117927868,2844740,,29988588,29462644,28412276,30064360,,388996,936420,1122876,396448
249,5,0,0,0,117750628,2986148,,29952604,29429104,28327504,30041416,,432884,964112,1170392,418760
250,2,0,0,0,117782852,2948152,,29937596,29448928,28335116,30061212,,445520,934648,1146476,421508
251,2,0,0,0,117678760,2998904,,29936968,29464404,28249264,30028124,,459768,900304,1208160,430672
252,4,0,0,0,117740740,2950512,,29931080,29439276,28316000,30054384,,458696,938420,1153052,400344
253,124,0,0,0,118086536,2535504,,30027792,29522856,28451332,30084556,,388156,809692,952684,384972
254,39,0,0,0,117909724,2764300,,29954284,29522580,28382032,30050828,,424068,892052,1048612,399568
255,3,0,0,0,117715688,2846536,,29940072,29359128,28379480,30037008,,439980,962956,1021508,422092
256,3,0,0,0,117366172,3256928,,29935892,29130628,28268692,30030960,,442260,1178164,1220472,416032
257,3,0,0,0,117246884,3240136,,29946496,29103856,28148924,30047608,,450304,1161252,1240744,387836
258,66,26,0,0,117969900,2464388,,29994644,29509820,28374152,30091284,,374960,765104,968264,356060
259,106,0,0,0,118021356,2542080,,30031968,29494768,28411192,30083428,,402148,819268,930156,390508
260,5,0,0,0,117838548,2806072,,29975376,29507260,28309916,30045996,,450904,762124,1205372,387672
261,3,0,0,0,117535456,2951220,,29950580,29333452,28212572,30038852,,429348,962204,1154288,405380
262,2,0,0,0,117511648,2932644,,29950336,29296112,28197448,30067752,,438568,966976,1145432,381668
263,65,26,0,0,118102696,2344052,,30017264,29515100,28456092,30114240,,357424,733404,926796,326428
264,35,0,0,0,117925260,2510368,,29986260,29468640,28404340,30066020,,404360,787976,949068,368964
265,3,0,0,0,117720172,2740000,,29981292,29322048,28372492,30044340,,414596,939500,996164,389740
266,2,0,0,0,117679956,2841008,,29987716,29272764,28371508,30047968,,427076,990208,1005448,418276
267,2,0,0,0,117696440,2747304,,29937568,29299704,28403496,30055672,,426760,974776,961512,384256
268,138,26,0,0,118033108,2405120,,30028084,29504588,28409412,30091024,,392304,719740,969976,323100
269,67,0,0,0,117699788,2667824,,29976232,29447024,28213256,30063276,,401868,805060,1108708,352188
270,37,0,0,0,117585104,2836760,,29957384,29443716,28155396,30028608,,427136,858360,1136504,414760
271,73,0,0,0,117664220,2720936,,29967644,29372580,28263076,30060920,,412112,883208,1044516,381100
272,72,26,0,0,118119920,2187872,,30030160,29555160,28436096,30098504,,374648,650064,829824,333336
